name,aliases,slug,tier,sourceGroup,category,website,logoUrl,whatTheyDo,whatTheyDo_method,whatTheyDo_variant,whatTheyDo_sourceUrl,whatTheyDo_fetchedAt,whatTheyDo_writer,whatTheyDo_note,useCases,useCases_method,useCases_basis,useCases_fetchedAt,useCases_writer,useCases_note,whatTheyDo_unsourced,useCases_unsourced,unsourced_method,unsourced_confidence,unsourced_writer,unsourced_note,confidence,confidenceScore,confidence_method,confidence_originalValue,confidence_thresholds,confidence_note,logoUrl_method,logoUrl_sourceUrl,sourceUrl,extractedAt,lastSeenAt,status,isDataArtifact,year,recordId
Nucleus Software,,nucleus-software,Gold Partner,Partners,lending,https://www.nucleussoftware.com/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/89fb0479-5db0-4695-97af-a8d9b8cae8ca-nucleus-software-website-logo.png,"Nucleus software is a leading digital lending and global transaction banking platform supporting all lines of business – retail banking, corporate banking, Islamic banking, auto finance banking, transaction banking.",direct-meta-description,,https://www.nucleussoftware.com/,earlier-in-this-session,,our own fetch of the company's homepage <meta> tag,digital lending,phrase-match:whatTheyDo,,,,,"Indian software product company supplying lending and transaction banking platforms, notably its FinnOne lending suite, to banks and NBFCs.",Loan origination and management systems;Digital lending platforms for NBFCs;Cash management for corporate banking;Islamic and retail finance product engines,unsourced,low,scratch-2,"written by another worker with no provenance; the cited page supplies logos/names/tiers only and cannot be the origin of this prose, so it is treated as unverified",medium,0.7,normalised-from-numeric,0.7,"high>=0.80, medium>=0.50, else low","original float preserved in confidenceScore; value written by another worker, mapped not discarded",gff-cms-partner-listing,https://www.globalfintechfest.com/partners,https://www.globalfintechfest.com/partners,2026-08-12T00:00:00Z,2026-08-12T13:58:49Z,active,,2026,6a7c6c0fb652fb8e4842f38b
Nugget by Zomato,,nugget-by-zomato,Silver Partner,Partners,ai,https://www.nugget.com/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/a776b9bc-f5e4-4a62-a50d-a551836f0d4b-NuggetbyZomato.png,"Creating high velocity impact across every link in the business value chain with AI-native voice, chat, and email agents.",direct-meta-description,,https://www.nugget.com/,earlier-in-this-session,,our own fetch of the company's homepage <meta> tag,AI and automation,phrase-match:whatTheyDo,,,,,"AI-native customer support platform built inside Zomato, offering automated resolution and agent assistance for high-volume consumer businesses.",AI-automated customer support resolution;Agent copilot for support teams;Dispute and refund handling automation;Multilingual chat support at scale,unsourced,low,scratch-2,"written by another worker with no provenance; the cited page supplies logos/names/tiers only and cannot be the origin of this prose, so it is treated as unverified",medium,0.6,normalised-from-numeric,0.6,"high>=0.80, medium>=0.50, else low","original float preserved in confidenceScore; value written by another worker, mapped not discarded",gff-cms-partner-listing,https://www.globalfintechfest.com/partners,https://www.globalfintechfest.com/partners,2026-08-12T00:00:00Z,2026-08-12T13:58:49Z,active,,2026,6a7c6c0fb652fb8e4842f396
Odyssey,,odyssey,Exhibitor,Exhibitors,other,https://www.odysseytec.com/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/404c8dc6-df9e-4fda-9f55-83f6c701bc75-odyssey-website-logo.png,"Odyssey Technologies is a Chennai based Public Company providing information security products and services built around PKI and other extended public key technologies. Odyssey offers driverless access to DSC tokens, simple interfaces to digital signatures, cryptographically secure data vaults and intuitive digital certificate management all with unparalleled security. xorkee service, one of its k",direct-meta-description,,https://www.odysseytec.com/,earlier-in-this-session,,our own fetch of the company's homepage <meta> tag,cybersecurity,phrase-match:whatTheyDo,direct-meta-description,,,derived by literal phrase match against this record whatTheyDo text,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9d2c
Oli AI,,oli-ai,Exhibitor,Exhibitors,ai,https://oliai.in/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/88605c38-1e52-4094-991a-0d85980f9ad2-oli-ai-website-logo.png,"Enterprise Voice AI for BFSI and NBFC collections. Automate EMI reminders, verification, and support calls with RBI/TRAI-compliant, multilingual voice agents.",apify:apify/website-content-crawler,meta-description,https://oliai.in/,2026-08-12T13:30:52Z,,,AML and compliance;AI and automation;collections and recovery,phrase-match:whatTheyDo,apify:apify/website-content-crawler,2026-08-12T13:32:27Z,,,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9d2d
ONDC,,ondc,Supporter,Supporters,infra,,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/bcf6e32a-f1e2-4f6e-bacf-ae83ec80cc3b-ondc180fbbf065.png,"Open Network for Digital Commerce, an Indian government-backed open network for interoperable digital commerce.",curated-public-facts,,,2026-08-12T13:32:27Z,,"stable public fact about what the organisation is; no GFF-2026 claims, no time-sensitive detail",cloud infrastructure,curated-public-facts,,2026-08-12T13:32:27Z,,,,,,,,,high,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9d2e
OnFinance,OnFinance AI,onfinance,Bronze Partner,Partners,lending,https://onfinance.ai/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/e704e28b-f1e2-42b7-a789-0b691a999001-OnFinance.png,"AI Agents to simplify, streamline, and strengthen your regulatory processes. We currently support regulators like SEBI, RBI, SEC, FINRA, FCA, SAMA, MAS, AMFI.",direct-meta-description,,https://onfinance.ai/,earlier-in-this-session,,our own fetch of the company's homepage <meta> tag,AI and automation,phrase-match:whatTheyDo,,,,,"AI company building domain-specific agents and copilots for financial institutions covering research, compliance and advisory workflows.",AI copilots for investment research;Automated compliance review and monitoring;Relationship manager advisory assistance;Document intelligence over financial filings,unsourced,low,scratch-2,"written by another worker with no provenance; the cited page supplies logos/names/tiers only and cannot be the origin of this prose, so it is treated as unverified",medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9d2f
Onsurity,,onsurity,Bronze Partner,Partners,insurtech,https://www.onsurity.com/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/8995104c-2a28-4793-9bea-5ee2a2cc6f40-Onsurity.png,"Bring instant, reliable healthcare to your team. Group health insurance, wellness, term life and personal accident cover for Indian businesses.",direct-meta-description,,https://www.onsurity.com/,earlier-in-this-session,,our own fetch of the company's homepage <meta> tag,insurance distribution,phrase-match:whatTheyDo,,,,,Employee healthcare and insurance platform providing monthly-subscription group health benefits to SMEs and startups.,Group health insurance for small businesses;Monthly subscription employee healthcare benefits;Teleconsultation and wellness benefits;Digital claims and policy management for SMEs,unsourced,low,scratch-2,"written by another worker with no provenance; the cited page supplies logos/names/tiers only and cannot be the origin of this prose, so it is treated as unverified",medium,0.65,normalised-from-numeric,0.65,"high>=0.80, medium>=0.50, else low","original float preserved in confidenceScore; value written by another worker, mapped not discarded",gff-cms-partner-listing,https://www.globalfintechfest.com/partners,https://www.globalfintechfest.com/partners,2026-08-12T00:00:00Z,2026-08-12T13:58:49Z,active,,2026,6a7c6c0fb652fb8e4842f3aa
Oxymoney,,oxymoney,Exhibitor,Exhibitors,other,https://website.oxymoney.com/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/8fc9fea5-cddf-41db-a250-c066e81fb210-oxymoney.png,"Secure, scalable payment solutions with UPI, prepaid cards, BBPS & expense management. Trusted by 2M+ users. RBI-licensed PPI provider.",apify:apify/website-content-crawler,meta-description,https://website.oxymoney.com/,2026-08-12T13:30:52Z,,,UPI payments;expense management,phrase-match:whatTheyDo,apify:apify/website-content-crawler,2026-08-12T13:32:27Z,,,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9d30
Paramotor,,paramotor,Digital Gifting and Rewards Partner,Partners,other,https://www.paramotordt.com/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/a2aa92e9-cc71-431c-956f-b583bc3a7ed0-paramotor-website-logo.png,"Paramotor Digital Technology Limited offers secure fintech SaaS solutions for consumer spend management, prepaid cards, bill payments and gifting in India.",apify:apify/website-content-crawler,meta-description,https://www.paramotordt.com/,2026-08-12T13:30:52Z,,,cloud infrastructure;expense management,phrase-match:whatTheyDo,apify:apify/website-content-crawler,2026-08-12T13:32:27Z,,,Digital gifting and rewards company listed as a GFF 2026 partner; further detail was not published on the GFF partner page.,Digital gift card issuance;Rewards and incentive programmes,unsourced,low,scratch-2,"written by another worker with no provenance; the cited page supplies logos/names/tiers only and cannot be the origin of this prose, so it is treated as unverified",medium,0.3,normalised-from-numeric,0.3,"high>=0.80, medium>=0.50, else low","original float preserved in confidenceScore; value written by another worker, mapped not discarded",gff-cms-partner-listing,https://www.globalfintechfest.com/partners,https://www.globalfintechfest.com/partners,2026-08-12T00:00:00Z,2026-08-12T13:58:49Z,active,,2026,6a7c6c0fb652fb8e4842f3ba
Parasoft,,parasoft,Exhibitor,Exhibitors,other,https://www.parasoft.com/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/c134b0f0-a9bd-4068-bfe5-c58aa29318fa-PARASOFT.png,Intelligent automated testing platform covering every SDLC stage. Blend human insight with AI to validate software quality at speed and scale.,direct-meta-description,,https://www.parasoft.com/,earlier-in-this-session,,our own fetch of the company's homepage <meta> tag,AI and automation,phrase-match:whatTheyDo,direct-meta-description,,,derived by literal phrase match against this record whatTheyDo text,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9d31
Pay10,,pay10,Gourmet Partner,Partners,payments,https://www.pay10.in/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/cb3b3f58-2c3b-4ce4-a9b8-d90faf8eaf87-Pay10.png,"Pay10 offers secure digital payment gateway solutions with seamless digital transactions, cross-border payments, and fast, reliable payment processing.",apify:apify/website-content-crawler,meta-description,https://www.pay10.in/,2026-08-12T13:30:52Z,,,payment gateway;cross-border payments,phrase-match:whatTheyDo,apify:apify/website-content-crawler,2026-08-12T13:32:27Z,,,Digital payments provider offering merchant payment acceptance and payout infrastructure across multiple payment methods.,Multi-method merchant payment acceptance;Bulk payouts and disbursements;Payment gateway integration for businesses;Cross-border payment collection,unsourced,low,scratch-2,"written by another worker with no provenance; the cited page supplies logos/names/tiers only and cannot be the origin of this prose, so it is treated as unverified",medium,0.6,normalised-from-numeric,0.6,"high>=0.80, medium>=0.50, else low","original float preserved in confidenceScore; value written by another worker, mapped not discarded",gff-cms-partner-listing,https://www.globalfintechfest.com/partners,https://www.globalfintechfest.com/partners,2026-08-12T00:00:00Z,2026-08-12T13:58:49Z,active,,2026,6a7c6b77b652fb8e4842f36a
PayGlocal,,payglocal,Silver Partner,Partners,payments,https://payglocal.in/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/4196e714-999e-4506-9bb3-8b33210f9471-Payglocal.png,"India's RBI-authorised cross-border payments infrastructure. Up to 96% PSR. Collect international payments from 180+ countries. FIRA/FIRC automated. Inward, outward and domestic on one stack.",apify:apify/website-content-crawler,meta-description,https://payglocal.in/,2026-08-12T13:30:52Z,,,cross-border payments;cloud infrastructure,phrase-match:whatTheyDo,apify:apify/website-content-crawler,2026-08-12T13:32:27Z,,,Cross-border payments company helping Indian businesses accept international payments and manage global collections.,Cross-border payment acceptance for exporters;Multi-currency online checkout;International collections and settlement;FX-optimised global payouts,unsourced,low,scratch-2,"written by another worker with no provenance; the cited page supplies logos/names/tiers only and cannot be the origin of this prose, so it is treated as unverified",medium,0.65,normalised-from-numeric,0.65,"high>=0.80, medium>=0.50, else low","original float preserved in confidenceScore; value written by another worker, mapped not discarded",gff-cms-partner-listing,https://www.globalfintechfest.com/partners,https://www.globalfintechfest.com/partners,2026-08-12T00:00:00Z,2026-08-12T13:58:49Z,active,,2026,6a7c6c0fb652fb8e4842f39a
Payhuddle,,payhuddle,Exhibitor,Exhibitors,other,https://www.payhuddle.com/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/96d8bee1-723f-45ea-a51e-424c984bfa68-payhuddle-website-logo.png,"Payhuddle offers EMV test tools, simulators, consulting, and certification solutions for acquirers, merchant acquirers, merchants, issuers, terminal vendors, processors, payment networks, and fintechs.",direct-meta-description,,https://www.payhuddle.com/,earlier-in-this-session,,our own fetch of the company's homepage <meta> tag,,,,,,,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9d32
Paysprint,,paysprint,Bronze Partner,Partners,payments,https://www.paysprint.in/index.html,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/2d7d3fb8-aa82-4b0b-a154-5ba7df6318f8-Paysprint.png,"Paysprint offers India's most reliable B2B fintech APIs — including KYC API for instant verification and excrow API for secure fund management. Compliance-ready, developer-friendly. Get started today.",apify:apify/website-content-crawler,meta-description,https://www.paysprint.in/index.html,2026-08-12T13:30:52Z,,,KYC and onboarding;AML and compliance;cloud infrastructure,phrase-match:whatTheyDo,apify:apify/website-content-crawler,2026-08-12T13:32:27Z,,,"Fintech API infrastructure provider offering payment, banking and verification APIs to businesses and retail agent networks.",Payout and money transfer APIs;AePS and micro-ATM agent banking;KYC and account verification APIs;Bill payment and recharge distribution,unsourced,low,scratch-2,"written by another worker with no provenance; the cited page supplies logos/names/tiers only and cannot be the origin of this prose, so it is treated as unverified",medium,0.6,normalised-from-numeric,0.6,"high>=0.80, medium>=0.50, else low","original float preserved in confidenceScore; value written by another worker, mapped not discarded",gff-cms-partner-listing,https://www.globalfintechfest.com/partners,https://www.globalfintechfest.com/partners,2026-08-12T00:00:00Z,2026-08-12T13:58:49Z,active,,2026,6a7c6c0fb652fb8e4842f3a9
